practiceoutput_id,output_id,practice_id,,,,,,,,,,
1,1,"""EDM01.01""",,,"""All EDM""","""APO01.01""","""APO01.03""","""APO01.04""","""All EDM""","""EDM01.01""",,
2,1,"""EDM01.02""",,,,,,,,"""EDM01.02""",,
3,1,"""EDM01.03""",,,,,,,,"""EDM01.03""",,
4,1,"""EDM02.01""",,,,,,,,"""EDM02.01""",,
5,1,"""EDM02.02""",,,,,,,,"""EDM02.02""",,
6,1,"""EDM02.03""",,,,,,,,"""EDM02.03""",,
7,1,"""EDM02.04""",,,,,,,,"""EDM02.04""",,
8,1,"""EDM03.01""",,,,,,,,"""EDM03.01""",,
9,1,"""EDM03.02""",,,,,,,,"""EDM03.02""",,
10,1,"""EDM03.03""",,,,,,,,"""EDM03.03""",,
11,1,"""EDM04.01""",,,,,,,,"""EDM04.01""",,
12,1,"""EDM04.02""",,,,,,,,"""EDM04.02""",,
13,1,"""EDM04.03""",,,,,,,,"""EDM04.03""",,
14,1,"""EDM05.01""",,,,,,,,"""EDM05.01""",,
15,1,"""EDM05.02""",,,,,,,,"""EDM05.02""",,
16,1,"""EDM05.03""",,,,,,,,"""EDM05.03""",,
17,1,"""APO01.01""",,,,,,,,"""APO01.01""",,
18,1,"""APO01.03""",,,,,,,,"""APO01.03""",,
19,1,"""APO01.04""",,,,,,,,"""APO01.04""",,
20,2,"""EDM01.01""",,,"""All EDM""","""APO01.01""","""APO01.04""",,"""APO01.01""","""EDM01.01""",,"""EDM01.01"""
21,2,"""EDM01.02""",,,,,,,,"""EDM01.02""",,"""EDM01.02"""
22,2,"""EDM01.03""",,,,,,,,"""EDM01.03""",,"""EDM01.03"""
23,2,"""EDM02.01""",,,,,,,,"""EDM02.01""",,"""EDM02.01"""
24,2,"""EDM02.02""",,,,,,,,"""EDM02.02""",,"""EDM02.02"""
25,2,"""EDM02.03""",,,,,,,,"""EDM02.03""",,"""EDM02.03"""
26,2,"""EDM02.04""",,,,,,,,"""EDM02.04""",,"""EDM02.04"""
27,2,"""EDM03.01""",,,,,,,,"""EDM03.01""",,"""EDM03.01"""
28,2,"""EDM03.02""",,,,,,,,"""EDM03.02""",,"""EDM03.02"""
29,2,"""EDM03.03""",,,,,,,,"""EDM03.03""",,"""EDM03.03"""
30,2,"""EDM04.01""",,,,,,,,"""EDM04.01""",,"""EDM04.01"""
31,2,"""EDM04.02""",,,,,,,,"""EDM04.02""",,"""EDM04.02"""
32,2,"""EDM04.03""",,,,,,,,"""EDM04.03""",,"""EDM04.03"""
33,2,"""EDM05.01""",,,,,,,,"""EDM05.01""",,"""EDM05.01"""
