practice_id,role_id,r_a,
"""BAI02.04""",8,,"""""BAI02.04"""""
"""BAI02.04""",9,,"""""BAI02.04"""""
"""BAI02.04""",10,,"""""BAI02.04"""""
"""BAI02.04""",11,,"""""BAI02.04"""""
"""BAI02.04""",12,,"""""BAI02.04"""""
"""BAI02.04""",13,,"""""BAI02.04"""""
"""BAI02.04""",14,R,"""""BAI02.04"""""
"""BAI02.04""",15,A,"""""BAI02.04"""""
"""BAI02.04""",16,R,"""""BAI02.04"""""
"""BAI02.04""",17,R,"""""BAI02.04"""""
"""BAI02.04""",18,R,"""""BAI02.04"""""
"""BAI02.04""",19,,"""""BAI02.04"""""
"""BAI02.04""",20,,"""""BAI02.04"""""
"""BAI02.04""",21,,"""""BAI02.04"""""
"""BAI02.04""",22,,"""""BAI02.04"""""
"""BAI02.04""",23,R,"""""BAI02.04"""""
"""BAI02.04""",24,,"""""BAI02.04"""""
"""BAI02.04""",25,,"""""BAI02.04"""""
"""BAI02.04""",26,,"""""BAI02.04"""""
"""BAI02.04""",27,R,"""""BAI02.04"""""
"""BAI02.04""",28,,"""""BAI02.04"""""
"""BAI02.04""",29,R,"""""BAI02.04"""""
"""BAI02.04""",30,,"""""BAI02.04"""""
"""BAI02.04""",31,,"""""BAI02.04"""""
"""BAI02.04""",32,,"""""BAI02.04"""""
"""BAI02.04""",33,,"""""BAI02.04"""""
"""BAI03.01""",1,,"""""BAI03.01"""""
"""BAI03.01""",2,,"""""BAI03.01"""""
"""BAI03.01""",3,,"""""BAI03.01"""""
"""BAI03.01""",4,,"""""BAI03.01"""""
"""BAI03.01""",5,,"""""BAI03.01"""""
"""BAI03.01""",6,,"""""BAI03.01"""""
"""BAI03.01""",7,R,"""""BAI03.01"""""
"""BAI03.01""",8,,"""""BAI03.01"""""
"""BAI03.01""",9,,"""""BAI03.01"""""
"""BAI03.01""",10,,"""""BAI03.01"""""
"""BAI03.01""",11,,"""""BAI03.01"""""
"""BAI03.01""",12,,"""""BAI03.01"""""
"""BAI03.01""",13,,"""""BAI03.01"""""
"""BAI03.01""",14,R,"""""BAI03.01"""""
"""BAI03.01""",15,A,"""""BAI03.01"""""
"""BAI03.01""",16,R,"""""BAI03.01"""""
"""BAI03.01""",17,R,"""""BAI03.01"""""
"""BAI03.01""",18,R,"""""BAI03.01"""""
"""BAI03.01""",19,,"""""BAI03.01"""""
"""BAI03.01""",20,,"""""BAI03.01"""""
"""BAI03.01""",21,R,"""""BAI03.01"""""
"""BAI03.01""",22,,"""""BAI03.01"""""
"""BAI03.01""",23,R,"""""BAI03.01"""""
"""BAI03.01""",24,,"""""BAI03.01"""""
"""BAI03.01""",25,,"""""BAI03.01"""""
"""BAI03.01""",26,,"""""BAI03.01"""""
"""BAI03.01""",27,,"""""BAI03.01"""""
"""BAI03.01""",28,,"""""BAI03.01"""""
"""BAI03.01""",29,,"""""BAI03.01"""""
"""BAI03.01""",30,,"""""BAI03.01"""""
"""BAI03.01""",31,,"""""BAI03.01"""""
"""BAI03.01""",32,,"""""BAI03.01"""""
"""BAI03.01""",33,,"""""BAI03.01"""""
"""BAI03.02""",1,,"""""BAI03.02"""""
"""BAI03.02""",2,,"""""BAI03.02"""""
"""BAI03.02""",3,,"""""BAI03.02"""""
"""BAI03.02""",4,,"""""BAI03.02"""""
"""BAI03.02""",5,,"""""BAI03.02"""""
"""BAI03.02""",6,,"""""BAI03.02"""""
"""BAI03.02""",7,R,"""""BAI03.02"""""
"""BAI03.02""",8,,"""""BAI03.02"""""
"""BAI03.02""",9,,"""""BAI03.02"""""
"""BAI03.02""",10,,"""""BAI03.02"""""
"""BAI03.02""",11,,"""""BAI03.02"""""
"""BAI03.02""",12,,"""""BAI03.02"""""
"""BAI03.02""",13,,"""""BAI03.02"""""
"""BAI03.02""",14,R,"""""BAI03.02"""""
"""BAI03.02""",15,A,"""""BAI03.02"""""
"""BAI03.02""",16,R,"""""BAI03.02"""""
"""BAI03.02""",17,R,"""""BAI03.02"""""
"""BAI03.02""",18,R,"""""BAI03.02"""""
"""BAI03.02""",19,,"""""BAI03.02"""""
"""BAI03.02""",20,,"""""BAI03.02"""""
"""BAI03.02""",21,,"""""BAI03.02"""""
"""BAI03.02""",22,,"""""BAI03.02"""""
"""BAI03.02""",23,R,"""""BAI03.02"""""
"""BAI03.02""",24,,"""""BAI03.02"""""
"""BAI03.02""",25,,"""""BAI03.02"""""
"""BAI03.02""",26,,"""""BAI03.02"""""
"""BAI03.02""",27,,"""""BAI03.02"""""
"""BAI03.02""",28,,"""""BAI03.02"""""
"""BAI03.02""",29,,"""""BAI03.02"""""
"""BAI03.02""",30,,"""""BAI03.02"""""
"""BAI03.02""",31,,"""""BAI03.02"""""
"""BAI03.02""",32,,"""""BAI03.02"""""
"""BAI03.02""",33,,"""""BAI03.02"""""
"""BAI03.03""",1,,"""""BAI03.03"""""
"""BAI03.03""",2,,"""""BAI03.03"""""
"""BAI03.03""",3,,"""""BAI03.03"""""
"""BAI03.03""",4,,"""""BAI03.03"""""
"""BAI03.03""",5,,"""""BAI03.03"""""
"""BAI03.03""",6,,"""""BAI03.03"""""
"""BAI03.03""",7,R,"""""BAI03.03"""""
"""BAI03.03""",8,,"""""BAI03.03"""""
"""BAI03.03""",9,,"""""BAI03.03"""""
"""BAI03.03""",10,,"""""BAI03.03"""""
"""BAI03.03""",11,,"""""BAI03.03"""""
"""BAI03.03""",12,,"""""BAI03.03"""""
"""BAI03.03""",13,,"""""BAI03.03"""""
"""BAI03.03""",14,R,"""""BAI03.03"""""
"""BAI03.03""",15,A,"""""BAI03.03"""""
"""BAI03.03""",16,R,"""""BAI03.03"""""
"""BAI03.03""",17,R,"""""BAI03.03"""""
"""BAI03.03""",18,R,"""""BAI03.03"""""
"""BAI03.03""",19,,"""""BAI03.03"""""
"""BAI03.03""",20,,"""""BAI03.03"""""
"""BAI03.03""",21,,"""""BAI03.03"""""
"""BAI03.03""",22,,"""""BAI03.03"""""
"""BAI03.03""",23,R,"""""BAI03.03"""""
"""BAI03.03""",24,,"""""BAI03.03"""""
"""BAI03.03""",25,,"""""BAI03.03"""""
"""BAI03.03""",26,,"""""BAI03.03"""""
"""BAI03.03""",27,,"""""BAI03.03"""""
"""BAI03.03""",28,,"""""BAI03.03"""""
"""BAI03.03""",29,,"""""BAI03.03"""""
"""BAI03.03""",30,,"""""BAI03.03"""""
"""BAI03.03""",31,,"""""BAI03.03"""""
"""BAI03.03""",32,,"""""BAI03.03"""""
"""BAI03.03""",33,,"""""BAI03.03"""""
"""BAI03.04""",1,,"""""BAI03.04"""""
"""BAI03.04""",2,,"""""BAI03.04"""""
"""BAI03.04""",3,,"""""BAI03.04"""""
"""BAI03.04""",4,,"""""BAI03.04"""""
"""BAI03.04""",5,,"""""BAI03.04"""""
"""BAI03.04""",6,,"""""BAI03.04"""""
"""BAI03.04""",7,R,"""""BAI03.04"""""
"""BAI03.04""",8,,"""""BAI03.04"""""
"""BAI03.04""",9,,"""""BAI03.04"""""
"""BAI03.04""",10,,"""""BAI03.04"""""
"""BAI03.04""",11,,"""""BAI03.04"""""
"""BAI03.04""",12,,"""""BAI03.04"""""
"""BAI03.04""",13,,"""""BAI03.04"""""
"""BAI03.04""",14,R,"""""BAI03.04"""""
"""BAI03.04""",15,A,"""""BAI03.04"""""
"""BAI03.04""",16,,"""""BAI03.04"""""
"""BAI03.04""",17,,"""""BAI03.04"""""
"""BAI03.04""",18,,"""""BAI03.04"""""
"""BAI03.04""",19,,"""""BAI03.04"""""
"""BAI03.04""",20,,"""""BAI03.04"""""
"""BAI03.04""",21,,"""""BAI03.04"""""
"""BAI03.04""",22,,"""""BAI03.04"""""
"""BAI03.04""",23,R,"""""BAI03.04"""""
"""BAI03.04""",24,R,"""""BAI03.04"""""
"""BAI03.04""",25,R,"""""BAI03.04"""""
"""BAI03.04""",26,,"""""BAI03.04"""""
"""BAI03.04""",27,,"""""BAI03.04"""""
"""BAI03.04""",28,,"""""BAI03.04"""""
"""BAI03.04""",29,,"""""BAI03.04"""""
"""BAI03.04""",30,,"""""BAI03.04"""""
"""BAI03.04""",31,,"""""BAI03.04"""""
"""BAI03.04""",32,,"""""BAI03.04"""""
"""BAI03.04""",33,,"""""BAI03.04"""""
"""BAI03.05""",1,,"""""BAI03.05"""""
"""BAI03.05""",2,,"""""BAI03.05"""""
"""BAI03.05""",3,,"""""BAI03.05"""""
"""BAI03.05""",4,,"""""BAI03.05"""""
"""BAI03.05""",5,,"""""BAI03.05"""""
"""BAI03.05""",6,,"""""BAI03.05"""""
"""BAI03.05""",7,R,"""""BAI03.05"""""
"""BAI03.05""",8,,"""""BAI03.05"""""
"""BAI03.05""",9,,"""""BAI03.05"""""
"""BAI03.05""",10,,"""""BAI03.05"""""
"""BAI03.05""",11,,"""""BAI03.05"""""
"""BAI03.05""",12,,"""""BAI03.05"""""
"""BAI03.05""",13,,"""""BAI03.05"""""
"""BAI03.05""",14,R,"""""BAI03.05"""""
"""BAI03.05""",15,A,"""""BAI03.05"""""
"""BAI03.05""",16,R,"""""BAI03.05"""""
"""BAI03.05""",17,R,"""""BAI03.05"""""
